Rank,Bus,Vol_Dev,Vol_Dev_Score,Net_Pwr_Fluct,Net_Pwr_Fluct_Score,DG_Cap,DG_Cap_Score,Total_Score
1,27,0.120085176247124,0.0440176542568331,1006.16,0.190943277363272,1000,0.287852619458837,0.522813551078942
2,26,0.119050904736918,0.0436385383062494,506.16,0.0960561434266853,500,0.143926309729419,0.283620991462353
3,61,0.0735512821853468,0.0269604876351997,895.68,0.169977016248644,250,0.0719631548647093,0.268900658748553
4,50,0.0041969789412728,0.00153841776090644,326.309,0.0619250515754272,150,0.0431778929188256,0.106641362255159
5,49,0.00380633967281119,0.00139522752880902,326.309,0.0619250515754272,150,0.0431778929188256,0.106498172023062
6,21,0.104727379566991,0.0383881985193351,150.58,0.0285762092563424,100,0.0287852619458837,0.0957496697215612
7,64,0.0757713227855373,0.0277742515203791,203.69,0.0386551206230866,100,0.0287852619458837,0.0952146340893495
8,12,0.0516446181831208,0.0189305209723187,165.15,0.0313412203392545,100,0.0287852619458837,0.0790570032574569
9,11,0.0419311258586126,0.0153700053439224,165.15,0.0313412203392545,100,0.0287852619458837,0.0754964876290607
10,59,0.0648973125172504,0.0237883438560585,129.45,0.0245662789761823,85,0.0244674726540012,0.0728220954862419
11,18,0.0956226308465558,0.0350508200535141,76.7,0.0145556863458724,50,0.0143926309729419,0.0639991373723284
12,17,0.0955714371940857,0.0350320548356497,76.7,0.0145556863458724,50,0.0143926309729419,0.0639803721544639
13,16,0.0912991578643499,0.0334660354458965,65.035,0.0123419695111318,45,0.0129533678756477,0.058761372832676
14,65,0.0763889482598022,0.0280006443644922,76.23,0.014466492439972,50,0.0143926309729419,0.0568597677774061
15,24,0.10952922152616,0.0401483309999643,37.41,0.0070994553611354,25,0.00719631548647093,0.0544441018475706
16,8,0.0253060186977903,0.00927601238111155,108,0.0204956209303027,75,0.0215889464594128,0.051360579770827
17,62,0.0738078518540474,0.0270545341721878,44.14,0.00837663618392186,30,0.00863557858376511,0.0440667489398748
18,48,0.00104901986221806,0.000384522012181092,109.88,0.0208523965539043,75,0.0215889464594128,0.0428258650254981
19,25,0.11627461289363,0.0426208785226437,0,0,0,0,0.0426208785226437
20,22,0.104857409876222,0.0384358615979389,6.715,0.00127433420876836,4.5,0.00129533678756477,0.041005532594272
21,23,0.10632794403422,0.0389748911947845,0,0,0,0,0.0389748911947845
22,20,0.101193472719577,0.0370928322247875,1.44,0.000273274945737369,1,0.000287852619458837,0.0376539597899837
23,19,0.0990137119974766,0.0362938330741298,0,0,0,0,0.0362938330741298
24,69,0.0520296237901743,0.0190716461655178,37.41,0.0070994553611354,25,0.00719631548647093,0.0333674170131241
25,68,0.0520284010210443,0.0190711979550852,37.41,0.0070994553611354,25,0.00719631548647093,0.0333669688026915
26,15,0.0889679605465019,0.0326115266651431,0,0,0,0,0.0326115266651431
27,14,0.0764291295658207,0.0280153729670657,11.035,0.00209415904598046,7.5,0.00215889464594128,0.0322684266589874
28,51,0.0253471491587095,0.00929108889983558,57.835,0.010975594782445,40,0.0115141047783535,0.031780788460634
29,7,0.0226652214399496,0.00830801862625536,57.788,0.0109666753918549,40,0.0115141047783535,0.0307887987964638
30,10,0.0390873635684009,0.0143276140247678,37.41,0.0070994553611354,25,0.00719631548647093,0.0286233848723741
31,13,0.0639868760263492,0.0234546200782225,11.035,0.00209415904598046,7.5,0.00215889464594128,0.0277076737701442
32,63,0.0741405967188367,0.0271765030019116,0,0,0,0,0.0271765030019116
33,54,0.0310216528851579,0.0113710986971806,36.658,0.00695674511169478,25,0.00719631548647093,0.0255241592953463
34,60,0.0684457490161484,0.0250890360467365,0,0,0,0,0.0250890360467365
35,9,0.0266582016359085,0.00977165991165762,38.35,0.00727784317293619,25,0.00719631548647093,0.0242458185710647
36,55,0.034231073462059,0.0125475233795083,30.68,0.00582227453834895,20,0.00575705238917674,0.024126850307034
37,67,0.0419957171420993,0.0153936815117341,23.01,0.00436670590376171,15,0.00431778929188256,0.0240781767073784
38,66,0.0419949725293269,0.0153934085712381,23.01,0.00436670590376171,15,0.00431778929188256,0.0240779037668824
39,58,0.0617783687911924,0.0226450837895736,0,0,0,0,0.0226450837895736
40,46,0.00148684176245306,0.000545007208047019,52.3834,0.00994102138370757,35,0.0100748416810593,0.0205608702728139
41,45,0.00148645431632366,0.000544865188271555,52.3834,0.00994102138370757,35,0.0100748416810593,0.0205607282530384
42,57,0.0537198411990228,0.0196912014499142,0,0,0,0,0.0196912014499142
43,37,0.000205446782541974,7.53072587702344e-05,36.47,0.00692106754933462,25,0.00719631548647093,0.0141926902945758
44,29,0.000115380170172652,4.229301731883e-05,36.47,0.00692106754933462,25,0.00719631548647093,0.0141596760531244
45,36,6.61509632553514e-05,2.42478740534826e-05,36.47,0.00692106754933462,25,0.00719631548647093,0.014141630909859
46,28,6.03514042918363e-05,2.21220248081705e-05,36.47,0.00692106754933462,25,0.00719631548647093,0.0141395050606137
47,40,0.000407229432989875,0.000149271416712301,35.56,0.00674837296557003,25,0.00719631548647093,0.0140939598687533
48,39,0.000405085920167303,0.000148485704359887,35.56,0.00674837296557003,25,0.00719631548647093,0.0140931741564008
49,56,0.0373447166512044,0.0136888405150797,0,0,0,0,0.0136888405150797
50,53,0.0286752237649036,0.0105110066443449,4.4695,0.000848196090259147,2.5,0.000719631548647093,0.0120788342832512
