Hour,P_Gen_(kW),BESS_Demand_(kW),P_Load_(kW),P_Nett_(kW),P_Loss_(kW),Q_Loss_(kVar),V_Max_(p.u.),V_Bus_Max,V_Min_(p.u.),V_Bus_Min
1,0,-60,1672.8316,1732.8316,90.4411548615969,42.9475679343951,1,1,0.958990683095507,65
2,0,-140,1482.7371,1622.7371,77.9273697143323,36.7469297016821,1,1,0.961918867187224,65
3,0,-220,1254.6237,1474.6237,62.0527386151232,28.3152829094685,1,1,0.965918549464391,65
4,0,20,1178.5859,1158.5859,62.0219752241396,26.5794284427788,1.00047839642933,27,0.965434631864438,65
5,0,-150,1064.5292,1214.5292,56.9916399069677,24.7655300194263,1,1,0.966345524487612,65
6,0,190,1254.6237,1064.6237,61.6789344735542,26.2590122627656,1,1,0.965428388762886,65
7,277.92,390,1900.945,1233.025,100.715859409178,43.2936533275317,1,1,0.956509208219508,65
8,1146.42,380,2547.2663,1020.8463,137.148649217857,58.5936105393254,1.00440402278373,27,0.953095035868778,65
9,2153.88,-540,2319.1529,705.2729,120.691161155372,50.7546856790574,1.00918690772369,27,0.95756932718137,65
10,2883.42,-1540,2129.0584,785.6384,111.58754847362,46.8649834193684,1.0069743550407,27,0.958573872141773,65
11,3369.78,-2020,2015.0017,665.2217,108.391381459491,44.9185622426185,1.00944120447623,27,0.959423078433076,64
12,3474,-2150,2129.0584,805.0584,113.422353249245,47.9243643096973,1.00738360205722,27,0.957782561031841,64
13,3369.78,-1810,2205.0962,645.3162,119.208241666859,49.7997376969049,1.00775448892079,27,0.956648584943859,64
14,2987.64,-1720,2129.0584,861.4184,107.485588617324,45.7507138012692,1.00533094290044,27,0.958476255569958,65
15,2258.1,-860,2015.0017,616.9017,82.515250157528,34.9200564977488,1.00996491685952,27,0.966353966797494,65
16,451.62,330,2129.0584,1347.4384,90.7513727197989,41.0019901456642,1,1,0.960532151296877,65
17,208.44,550,2319.1529,1560.7129,113.72542840646,50.8821558684199,1,1,0.956216812820245,65
18,0,990,2737.3608,1747.3608,143.866226969684,66.7596275163363,1.00536690094721,27,0.953587759708616,65
19,0,1320,3155.5687,1835.5687,167.817895332975,81.2545783377887,1.00654663062982,27,0.952798546728032,65
20,0,1830,3573.7766,1743.7766,193.215344595539,90.5486661412049,1.00953464900134,27,0.952784796531936,65
21,0,1830,3801.89,1971.89,204.464740480175,96.6622028207293,1.00708948316182,27,0.953055738162382,65
22,0,1750,3573.7766,1823.7766,193.008059725668,88.465041447307,1.00886134716298,27,0.952940182958579,65
23,0,1220,2965.4742,1745.4742,146.234904373248,68.4134436795923,1.00923970227161,27,0.957507781335192,65
24,0,410,2129.0584,1719.0584,113.90672758924,52.110566837456,1,1,0.954703993391254,65
