Hour,P_Gen_(kW),BESS_Demand_(kW),P_Load_(kW),P_Nett_(kW),P_Loss_(kW),Q_Loss_(kVar),V_Max_(p.u.),V_Bus_Max,V_Min_(p.u.),V_Bus_Min
1,0,0,1672.8316,1672.8316,79.1359949001657,36.1508244493753,1,1,0.962221651325278,65
2,0,0,1482.7371,1482.7371,61.6916766641207,28.1952336726841,1,1,0.966640955357678,65
3,0,0,1254.6237,1254.6237,43.7656384104083,20.0136499129855,1,1,0.971899437433251,65
4,0,0,1178.5859,1178.5859,38.5044431214388,17.6110270844058,1,1,0.97364162525783,65
5,0,0,1064.5292,1064.5292,31.2707534547588,14.3064848149505,1,1,0.976245081818951,65
6,0,0,1254.6237,1254.6237,43.7656384104083,20.0136499129855,1,1,0.971899437433251,65
7,277.92,0,1900.945,1623.025,88.736337011818,40.4495309494555,1,1,0.95963133941934,65
8,1146.42,0,2547.2663,1400.8463,140.32079845377,61.3630680879285,1.0065139341102,27,0.953075529832427,65
9,2153.88,0,2319.1529,165.2729,151.694338453867,59.3147243826176,1.03825170078222,27,0.968262124588516,65
10,2883.42,0,2129.0584,-754.3616,206.320587639205,76.5510177296589,1.06056641217931,27,0.979502790684157,65
11,3369.78,0,2015.0017,-1354.7783,263.724016387336,96.6270276422421,1.07492103331124,27,0.986519507036258,64
12,3474,0,2129.0584,-1344.9416,280.367850269092,102.836412211961,1.07661566702045,27,0.984966628344437,64
13,3369.78,0,2205.0962,-1164.6838,268.03172164043,98.6229055784598,1.07306798154777,27,0.982331723242533,64
14,2987.64,0,2129.0584,-858.5816,218.127262030394,80.6957712041054,1.06342566652402,27,0.980480005023178,65
15,2258.1,0,2015.0017,-243.0983,141.60783554266,53.6744021574588,1.04432287734638,27,0.976170200050751,65
16,451.62,0,2129.0584,1677.4384,106.431330763085,48.2810980889437,1,1,0.955998807785737,65
17,208.44,0,2319.1529,2110.7129,141.739464658588,64.6566890632354,1,1,0.949049786473405,65
18,0,0,2737.3608,2737.3608,221.725898249702,101.014097332927,1,1,0.936812622190545,65
19,0,0,3155.5687,3155.5687,300.222172355973,136.625002681472,1,1,0.926503810338428,65
20,0,0,3573.7766,3573.7766,392.57767505426,178.453766923087,1,1,0.915997064244446,65
21,0,0,3801.89,3801.89,449.109944600948,204.024808004269,1,1,0.910179246749684,65
22,0,0,3573.7766,3573.7766,392.57767505426,178.453766923087,1,1,0.915997064244446,65
23,0,0,2965.4742,2965.4742,262.874287790289,119.688927917493,1,1,0.931213607239009,65
24,0,0,2129.0584,2129.0584,130.649703941083,59.6147855458291,1,1,0.951472709175195,65
